ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH03801,MILLERSBURG,"3,186",1,104,,1,,,3,100,1,
OH03800,HOLMES COUNTY SHERIFF,"40,759",,15,,,,,4,10,1,
,HOLMES COUNTY TOTAL,"44,006",1,120,,1,,,7,111,2,
,,,,,,,,,,,,
OH02208,MILAN,356,,3,,,,,,3,,
OH03902,NORWALK,"16,811",13,336,,5,3,5,40,288,8,
OH03903,WILLARD,"6,032",7,288,,,4,3,59,218,11,
OH03907,MONROEVILLE,"1,365",,,,,,,,,,
OH07003,PLYMOUTH,875,,,,,,,,,,
,HURON COUNTY TOTAL,"25,439",20,627,,5,7,8,99,509,19,
,,,,,,,,,,,,
OH04001,JACKSON,"6,305",9,141,,2,2,5,12,126,3,
OH04002,WELLSTON,"5,534",11,89,,2,1,8,21,63,5,
OH04004,OAK HILL,"1,504",3,41,,,1,2,7,34,,
OH04000,JACKSON COUNTY SHERIFF,"18,650",22,222,1,11,1,9,54,148,20,2
,JACKSON COUNTY TOTAL,"31,993",45,493,1,15,5,24,94,371,28,2
,,,,,,,,,,,,
OH04103,STEUBENVILLE,"17,979",49,"1,132",3,4,11,31,89,"1,021",22,6
OH04102,MINGO JUNCTION,"3,278",4,12,,,1,3,6,6,,1
OH04104,TORONTO,"4,814",14,20,,1,,13,4,15,1,
OH04105,WINTERSVILLE,"3,750",2,68,,1,1,,8,58,2,
OH04106,YORKVILLE,582,1,4,,,,1,1,3,,
OH04114,MOUNT PLEASANT,447,,2,,,,,1,1,,
OH04120,TILTONSVILLE,"1,302",,1,,,,,,1,,
OH04122,SALINE TOWNSHIP,"1,265",,9,,,,,1,4,4,
OH04124,WELLS TOWNSHIP,"2,671",,14,,,,,6,6,2,
OH04100,JEFFERSON COUNTY SHERIFF,"21,314",3,17,,,,3,5,11,1,
,JEFFERSON COUNTY TOTAL,"57,402",73,"1,279",3,6,13,51,121,"1,126",32,7
,,,,,,,,,,,,
OH04201,MOUNT VERNON,"16,553",22,621,1,6,,15,89,525,7,3
OH04203,DANVILLE,"1,004",1,33,,,,1,7,24,2,
OH04204,FREDERICKTOWN,"2,461",4,55,,,,4,12,43,,
OH04513,UTICA,20,,,,,,,,,,
OH04200,KNOX COUNTY SHERIFF,"40,890",56,384,2,26,1,27,108,276,,
,KNOX COUNTY TOTAL,"60,928",83,"1,093",3,32,1,47,216,868,9,3
,,,,,,,,,,,,
OH04301,EASTLAKE,"18,056",14,330,1,2,5,6,38,282,10,1
OH04302,FAIRPORT HARBOR,"3,050",7,73,,1,1,5,14,57,2,2
OH04304,KIRTLAND HILLS,638,,,,,,,,,,
OH04306,MENTOR,"46,663",72,908,,11,17,44,105,780,23,6
OH04307,MENTOR-ON-THE-LAKE,"7,359",9,81,,,1,8,14,61,6,
OH04308,PAINESVILLE,"19,719",11,22,1,1,,9,7,13,2,
OH04310,WAITE HILL,449,1,,,,,1,,,,
OH04311,WICKLIFFE,"12,679",9,152,,,4,5,26,118,8,
OH04312,WILLOUGHBY,"22,857",34,440,,1,17,16,37,385,18,1
OH04318,MADISON TOWNSHIP,"15,380",4,67,,,,4,8,57,2,
OH04321,LAKELAND COMMUNITY,,,14,,,,,,14,,
OH04322,KIRTLAND,"6,759",1,18,,,,1,5,13,,
OH04300,LAKE COUNTY SHERIFF,"45,532",303,334,,29,45,229,61,269,4,1
OH04324,LAKE METROPARKS,,2,4,1,,,1,,4,,
,LAKE COUNTY TOTAL,"199,141",467,"2,443",3,45,90,329,315,"2,053",75,11
,,,,,,,,,,,,
OH04401,COAL GROVE,"2,137",,,,,,,,,,
OH04402,IRONTON,"10,853",15,249,,2,5,8,65,169,15,1
OH04407,SOUTH POINT,"3,935",2,42,,1,,1,8,31,3,
OH04400,LAWRENCE COUNTY SHERIFF,"42,911",62,662,7,11,5,39,173,436,53,6
,LAWRENCE COUNTY TOTAL,"59,836",79,953,7,14,10,48,246,636,71,7
,,,,,,,,,,,,
OH02508,REYNOLDSBURG,"9,137",25,256,,6,12,7,32,216,8,1
OH02521,NEW ALBANY,168,,1,,,,,,1,,
OH04501,NEWARK,"49,389",91,"1,628",1,47,14,29,331,"1,154",143,12
OH04503,GRANVILLE,"5,787",,39,,,,,5,32,2,
OH04507,HEATH,"10,681",23,598,,7,2,14,77,493,28,
OH04509,JOHNSTOWN,"5,025",2,63,,1,,1,4,56,3,
OH04510,KIRKERSVILLE,537,,2,,,,,,2,,
OH04513,UTICA,"2,179",3,28,,,,3,7,20,1,
OH04500,LICKING COUNTY SHERIFF,"65,171",60,983,4,19,12,25,291,613,79,1
,LICKING COUNTY TOTAL,"148,074",204,"3,598",5,80,40,79,747,"2,587",264,14
,,,,,,,,,,,,
OH04601,BELLEFONTAINE,"13,144",14,331,,6,2,6,46,280,5,2
OH04602,RUSSELLS POINT,"1,367",4,22,1,2,,1,3,19,,
OH04610,WEST LIBERTY,"1,785",1,5,,,,1,1,3,1,
OH04600,LOGAN COUNTY SHERIFF,"25,465",20,255,1,11,,8,68,177,10,3
,LOGAN COUNTY TOTAL,"41,761",39,613,2,19,2,16,118,479,16,5
,,,,,,,,,,,,
OH04704,ELYRIA,"53,586",191,"1,146",3,39,64,85,248,842,56,12
OH02204,VERMILION,"5,778",2,54,,1,,1,8,45,1,
OH04701,AMHERST,"12,090",5,157,,,2,3,14,140,3,1
OH04703,AVON LAKE,"23,839",8,124,,,1,7,21,97,6,1
OH04705,LORAIN,"63,672",373,"2,019",2,30,87,254,590,"1,335",94,11
OH04706,OBERLIN,"8,321",13,171,,6,,7,33,136,2,1
OH04707,NORTH RIDGEVILLE,"33,586",17,140,1,7,2,7,47,89,4,
OH04708,SHEFFIELD LAKE,"8,983",7,115,,5,2,,23,84,8,
OH04710,GRAFTON,"6,182",1,40,,1,,,16,24,,
OH04700,LORAIN COUNTY SHERIFF,"61,609",55,563,,14,9,32,203,344,16,9
,LORAIN COUNTY TOTAL,"277,646",672,"4,529",6,103,167,396,"1,203","3,136",190,35
,,,,,,,,,,,,
OH04807,TOLEDO,"277,116","2,829","11,095",35,180,780,"1,834","3,103","7,247",745,
OH02604,SWANTON,145,,1,,,,,,1,,
OH04801,MAUMEE,"13,809",5,305,,,3,2,31,265,9,
OH04802,OREGON,"19,991",36,779,1,10,8,17,75,682,22,1
OH04803,OTTAWA HILLS,"4,488",,50,,,,,11,35,4,
OH04805,SYLVANIA,"18,908",6,86,,3,,3,12,67,7,
OH04806,SYLVANIA TOWNSHIP,"29,536",39,688,,4,12,23,73,577,38,
OH04810,HOLLAND,"1,662",7,349,,1,4,2,10,335,4,3
OH04811,WATERVILLE,"5,518",1,25,,,,1,3,22,,
OH04812,WHITEHOUSE,"4,622",2,8,,,1,1,1,7,,
OH04813,UNIVERSITY OF TOLED,,7,185,,,5,2,5,177,3,
OH04815,WASHINGTON TOWNSHIP,"3,241",,2,,,,,1,1,,
OH04818,WATERVILLE TOWNSHIP,"1,655",,,,,,,,,,
OH04819,TOLEDO FIRE DEPARTMENT,,,,,,,,,,,111
OH04822,TOLEDO METRO PARK,,1,1,,,,1,,1,,
OH04800,LUCAS COUNTY SHERIFF,"51,193",90,991,,19,25,46,224,706,61,4
,LUCAS COUNTY TOTAL,"431,884","3,023","14,565",36,217,838,"1,932","3,549","10,123",893,119
,,,,,,,,,,,,
OH04901,LONDON,"10,202",14,254,,2,2,10,52,189,13,1
OH04902,WEST JEFFERSON,"4,347",2,58,,,,2,5,51,2,
OH04900,MADISON COUNTY SHERIFF,"25,093",14,347,,4,2,8,102,224,21,3
,MADISON COUNTY TOTAL,"39,642",30,659,,6,4,20,159,464,36,4
,,,,,,,,,,,,
OH05002,BOARDMAN,"39,276",61,"1,482",,14,31,16,164,"1,289",29,6
OH05009,YOUNGSTOWN,"63,878",447,"2,362",23,32,151,241,847,"1,283",232,82
OH01501,COLUMBIANA,650,,4,,,,,,4,,
OH01506,SALEM,4,,,,,,,,,,
OH01513,WASHINGTONVILLE,335,,1,,,,,,1,,
OH05001,AUSTINTOWN,"35,303",62,789,,9,14,39,109,659,21,1
OH05003,CAMPBELL,"7,875",9,50,,,2,7,19,25,6,
OH05004,CANFIELD,"7,246",3,46,,1,,2,10,36,,2
OH05005,LOWELLVILLE,"1,097",,1,,,,,1,,,
OH05006,POLAND VILLAGE,"2,444",,8,,,,,,6,2,1
OH05007,SEBRING,"4,232",11,111,,4,,7,14,92,5,
OH05008,STRUTHERS,"10,228",15,216,,1,4,10,58,148,10,
OH05011,CRAIG BEACH,"1,129",1,6,,1,,,1,4,1,
OH05012,NEW MIDDLETOWN,"1,553",,15,,,,,4,9,2,
OH05013,BEAVER TOWNSHIP,"6,427",2,102,,1,,1,23,74,5,1
OH05016,SPRINGFIELD TOWNSHIP,"6,374",7,55,,2,,5,17,34,4,1
OH05018,GOSHEN TOWNSHIP,"3,072",3,55,,2,,1,6,44,5,1
OH05020,MILTON TOWNSHIP,"2,445",2,36,,1,1,,7,27,2,1
OH05021,JACKSON TOWNSHIP,"2,018",2,32,,,,2,14,18,,
OH05022,POLAND TOWNSHIP,"11,921",3,53,,1,1,1,14,39,,
OH05023,COITSVILLE TOWNSHIP,"1,326",3,44,,1,,2,16,24,4,
OH07601,ALLIANCE,35,,1,,,,,,1,,
OH05000,MAHONING COUNTY SHERIFF,"16,141",4,67,,,,4,19,40,8,
,MAHONING COUNTY TOTAL,"225,009",635,"5,536",23,70,204,338,"1,343","3,857",336,96
,,,,,,,,,,,,
OH05101,MARION,"36,230",100,995,3,40,28,29,316,649,30,11
OH05100,MARION COUNTY SHERIFF,"28,813",22,821,1,9,2,10,113,693,15,4
,MARION COUNTY TOTAL,"65,043",122,"1,816",4,49,30,39,429,"1,342",45,15
,,,,,,,,,,,,
OH05201,BRUNSWICK,"34,838",21,194,1,2,4,14,22,161,11,
OH05202,MEDINA,"26,199",17,324,1,5,5,6,55,269,,
OH05203,WADSWORTH,"23,388",24,333,,4,1,19,28,301,4,1
OH05207,WESTFIELD CENTER,"1,164",,1,,,,,1,,,
OH05210,SPENCER,777,2,6,,1,,1,1,5,,
OH05212,HINCKLEY TOWNSHIP,"7,970",1,17,,,,1,3,13,1,
OH05213,MONTVILLE TOWNSHIP,"11,718",,61,,,,,15,46,,
OH05214,MEDINA TOWNSHIP,"8,940",5,109,,1,,4,3,101,5,
OH05215,BRUNSWICK HILLS TOWNSHIP,"10,309",2,40,,1,,1,11,27,2,
OH08502,RITTMAN,114,,2,,,,,1,1,,
OH08507,CRESTON,91,,1,,,,,,1,,
OH05200,MEDINA COUNTY SHERIFF,"47,744",,89,,,,,28,61,,
,MEDINA COUNTY TOTAL,"173,252",72,"1,177",2,14,10,46,168,986,23,1
,,,,,,,,,,,,
OH05301,MIDDLEPORT,"2,455",,13,,,,,5,7,1,
OH05302,POMEROY,"1,808",,4,,,,,,3,1,
OH05303,RACINE,655,,1,,,,,,1,,
OH05304,RUTLAND,376,,,,,,,,,,
OH05305,SYRACUSE,816,,,,,,,,,,
OH05300,MEIGS COUNTY SHERIFF,"16,976",25,194,,7,3,15,45,126,23,1
,MEIGS COUNTY TOTAL,"23,086",25,212,,7,3,15,50,137,25,1
,,,,,,,,,,,,
OH05404,COLDWATER,"4,519",3,53,,3,,,6,47,,
OH05405,FORT RECOVERY,"1,436",1,12,,,,1,3,8,1,
OH05408,ROCKFORD,"1,099",,4,,,,,,4,,
OH05409,ST. HENRY,"2,527",1,8,,,,1,1,7,,
OH05400,MERCER COUNTY SHERIFF,"21,146",5,106,,3,,2,15,87,4,
,MERCER COUNTY TOTAL,"30,727",10,183,,6,,4,25,153,5,
,,,,,,,,,,,,
OH05502,PIQUA,"20,973",54,819,1,33,11,9,120,681,18,2
OH05503,TIPP CITY,"9,957",4,140,,4,,,11,119,10,4
OH05504,TROY,"25,865",38,502,1,20,6,11,60,434,8,
OH05506,COVINGTON,"2,637",3,16,,,,3,2,14,,
OH05714,HUBER HEIGHTS,995,2,24,,,1,1,3,20,1,
OH05500,MIAMI COUNTY SHERIFF,"40,126",25,390,,14,1,10,101,262,27,1
,MIAMI COUNTY TOTAL,"100,553",126,"1,891",2,71,19,34,297,"1,530",64,7
,,,,,,,,,,,,
OH05601,WOODSFIELD,"2,312",,,,,,,,,,
OH05600,MONROE,"11,875",7,51,,1,1,5,17,26,8,
,MONROE COUNTY TOTAL,"14,187",7,51,,1,1,5,17,26,8,
,,,,,,,,,,,,
OH05702,DAYTON,"140,171","1,232","6,083",30,122,393,687,"1,779","3,688",616,26
OH05701,CENTERVILLE,"23,780",14,373,,2,4,8,30,327,16,
OH05703,GERMANTOWN,"5,477",4,68,,2,1,1,15,49,4,
OH05705,KETTERING,"54,681",70,852,,23,26,21,190,610,52,3
OH05707,MIAMI TOWNSHIP,"28,996",28,953,,5,6,17,71,839,43,2
OH05708,MIAMISBURG,"19,928",14,257,,4,2,8,46,204,7,3
OH05709,MORAINE,"6,360",27,541,,8,10,9,60,456,25,4
OH05711,CLAYTON,"13,149",5,118,,,4,1,17,92,9,
OH05712,TROTWOOD,"24,308",69,891,3,15,35,16,257,489,145,6
OH05713,VANDALIA,"15,022",26,310,,10,11,5,66,219,25,2
OH05714,HUBER HEIGHTS,"37,001",75,927,,15,20,40,114,762,51,5
OH05715,WEST CARROLLTON,"12,898",23,285,1,5,11,6,66,198,21,4
OH05716,BROOKVILLE,"5,896",6,67,,3,3,,15,47,5,
OH05718,ENGLEWOOD,"13,504",19,443,,1,7,11,8,423,12,5
OH05720,NEW LEBANON,"3,966",10,95,,2,4,4,22,70,3,1
OH05722,RIVERSIDE,"24,939",22,270,,8,7,7,27,131,112,8
OH05724,BUTLER TOWNSHIP,"7,799",24,425,,5,9,10,29,372,24,2
OH05725,GERMAN TOWNSHIP,"2,876",2,20,,,,2,7,11,2,
OH05727,JACKSON TOWNSHIP,"3,658",1,13,,,,1,4,8,1,
OH05728,PERRY TOWNSHIP,"3,322",,3,,,,,2,1,,
OH05729,CLAY TOWNSHIP,"4,193",8,22,,3,,5,7,14,1,
OH05733,SINCLAIR COMMUNITY COLLEGE,,1,39,,,1,,11,28,,
OH08308,CARLISLE,201,,1,,,,,,1,,
OH08314,SPRINGBORO,"1,273",,8,,,,,1,7,,
OH05700,MONTGOMERY COUNTY SHERIFF,"62,832",237,"1,278",2,36,96,103,360,693,225,19
,MONTGOMERY COUNTY TOTAL,"516,230","1,917","14,342",36,269,650,962,"3,204","9,739","1,399",90
,,,,,,,,,,,,
OH05801,MCCONNELSVILLE,"1,804",5,22,,1,,4,3,17,2,
OH05800,MORGAN COUNTY SHERIFF,"12,996",29,128,,5,,24,42,64,22,1
,MORGAN COUNTY TOTAL,"14,800",34,150,,6,,28,45,81,24,1
,,,,,,,,,,,,
OH05902,CARDINGTON,"2,064",4,23,,2,,2,9,14,,
,MORROW COUNTY TOTAL,"2,064",4,23,,2,,2,9,14,,
,,,,,,,,,,,,
OH06001,ZANESVILLE,"25,457",100,"1,157",,19,21,60,203,897,57,16
OH06003,DRESDEN,"1,707",,5,,,,,1,4,,
OH06004,FRAZEYSBURG,"1,294",1,9,,,,1,4,5,,
OH06006,NEW CONCORD,"2,337",,7,,,,,,7,,
OH06009,ROSEVILLE,763,1,10,,1,,,2,6,2,
OH06010,SOUTH ZANESVILLE,"1,970",1,34,,,,1,4,29,1,
OH06013,MUSKINGUM UNIVERSITY,,1,4,,,,1,1,3,,
OH06000,MUSKINGUM COUNTY SHERIFF,"52,740",59,903,,38,10,11,233,610,60,4
,MUSKINGUM COUNTY TOTAL,"86,268",163,"2,129",,58,31,74,448,"1,561",120,20
,,,,,,,,,,,,
OH06100,NOBLE,"12,577",1,107,,1,,,37,62,8,
,NOBLE COUNTY TOTAL,"12,577",1,107,,1,,,37,62,8,
,,,,,,,,,,,,
OH06201,OAK HARBOR,"2,731",1,36,,1,,,8,28,,
OH06202,PORT CLINTON,"5,928",21,170,,12,3,6,31,126,13,
OH06205,GENOA,"2,276",1,7,,,,1,2,5,,1
OH06207,PUT-IN-BAY,135,,1,,,,,,,1,
OH06213,CATAWBA ISLAND TOWNSHIP,"3,504",1,4,,,,1,1,2,1,
OH06214,CARROLL TOWNSHIP,"2,085",2,17,1,,,1,3,14,,
OH06200,OTTAWA COUNTY SHERIFF,"19,687",4,217,,4,,,43,166,8,
,OTTAWA COUNTY TOTAL,"36,346",30,452,1,17,3,9,88,341,23,1
,,,,,,,,,,,,
OH06310,PAYNE,"1,147",1,8,,1,,,2,6,,
OH06300,PAULDING COUNTY SHERIFF,"13,223",8,98,,2,1,5,32,66,,2
,PAULDING COUNTY TOTAL,"14,370",9,106,,3,1,5,34,72,,2
,,,,,,,,,,,,
OH06009,ROSEVILLE,"1,083",3,12,,1,1,1,2,8,2,
OH06401,CROOKSVILLE,"2,491",,,,,,,,,,
OH06402,NEW LEXINGTON,"4,716",11,134,,6,1,4,14,112,8,1
OH06403,NEW STRAITSVILLE,709,,1,,,,,,1,,
OH06407,JUNCTION CITY,803,1,6,,,,1,2,4,,
OH06410,SHAWNEE,641,,1,,,,,,,1,
OH06411,SOMERSET,"1,460",,4,,,,,1,3,,
OH06412,THORNVILLE,997,,3,,,,,1,2,,
OH06400,PERRY COUNTY SHERIFF,"22,534",12,72,,5,3,4,24,47,1,1
,PERRY COUNTY TOTAL,"35,434",27,233,,12,5,10,44,177,12,2
,,,,,,,,,,,,
OH06501,CIRCLEVILLE,"13,972",57,714,,13,21,23,136,550,28,4
OH06502,ASHVILLE,"4,211",3,53,1,,1,1,9,40,4,
OH06503,COMMERCIAL POINT,"1,617",,21,,,,,6,14,1,
OH06508,SOUTH BLOOMFIELD,"1,884",,39,,,,,2,34,3,
OH06500,PICKAWAY COUNTY SHERIFF,"35,609",24,656,,6,5,13,182,449,25,5
,PICKAWAY COUNTY TOTAL,"57,293",84,"1,483",1,19,27,37,335,"1,087",61,9
,,,,,,,,,,,,
OH06601,WAVERLY,"4,357",4,59,1,,,3,,58,1,
OH06606,PIKETON,"2,190",3,7,,,,3,1,6,,
OH06600,PIKE COUNTY SHERIFF,"21,592",33,319,2,12,2,17,84,211,24,14
,PIKE COUNTY TOTAL,"28,139",40,385,3,12,2,23,85,275,25,14
,,,,,,,,,,,,
OH06701,AURORA,"15,932",3,187,,,1,2,17,168,2,
OH06702,GARRETTSVILLE,"2,321",,20,,,,,1,17,2,
OH06703,KENT,"30,270",44,451,,1,11,32,75,359,17,1
OH06706,WINDHAM,"2,199",4,36,,,,4,10,24,2,
OH06707,BRADY LAKE,460,,,,,,,,,,
OH06708,HIRAM,"1,164",3,,,1,,2,,,,
OH06711,KENT STATE UNIVERSITY,,3,167,,,,3,2,164,1,
OH06712,STREETSBORO,"16,308",11,343,,2,5,4,24,309,10,
OH06713,BRIMFIELD TOWNSHIP,"10,348",7,291,,1,2,4,28,254,9,
OH06714,UNV HOSP PORTAGE ME,,,1,,,,,,1,,
OH07708,MOGADORE,"1,002",,12,,,,,3,9,,
OH07713,TALLMADGE,287,,5,,,,,1,4,,
OH06700,PORTAGE COUNTY SHERIFF,"70,629",62,"1,029",,10,6,46,255,730,44,8
,PORTAGE COUNTY TOTAL,"150,920",137,"2,542",,15,25,97,416,"2,039",87,9
,,,,,,,,,,,,
OH06802,CAMDEN,"1,951",,2,,,,,,2,,
OH06805,GRATIS,855,,8,,,,,1,6,1,
OH06809,WEST ALEXANDRIA,"1,339",1,13,,1,,,4,9,,
OH06800,PREBLE COUNTY SHERIFF,"27,117",24,243,2,6,,16,69,149,25,
,PREBLE COUNTY TOTAL,"31,262",25,266,2,7,,16,74,166,26,
,,,,,,,,,,,,
OH06901,OTTAWA,"4,394",6,14,,2,,4,,13,1,
OH06904,COLUMBUS GROVE,"2,077",,1,,,,,,1,,
OH06911,LEIPSIC,"2,022",1,12,,,,1,4,8,,
OH06913,OTTOVILLE,975,,,,,,,,,,
OH06914,PANDORA,"1,146",,3,,,,,1,2,,
OH06916,KALIDA,"1,569",1,,,,,1,,,,
OH06900,PUTNAM COUNTY SHERIFF,"20,451",6,88,1,4,,1,30,56,2,1
,PUTNAM COUNTY TOTAL,"32,634",14,118,1,6,,7,35,80,3,1
,,,,,,,,,,,,
OH07001,MANSFIELD,"46,507",248,"2,392",7,45,75,121,569,"1,745",78,19
OH01702,CRESTLINE,18,,,,,,,,,,
OH07002,ONTARIO,"6,058",8,328,,,7,1,7,320,1,
OH07003,PLYMOUTH,912,,2,,,,,,1,1,
OH07004,SHELBY,"8,987",11,262,,9,,2,54,205,3,1
OH07005,BELLVILLE,"1,864",,18,,,,,2,15,1,
OH07007,LEXINGTON,"4,686",,9,,,,,1,8,,1
OH07000,RICHLAND COUNTY SHERIFF,"50,986",57,958,,15,15,27,264,649,45,3
,RICHLAND COUNTY TOTAL,"120,018",324,"3,969",7,69,97,151,897,"2,943",129,24
,,,,,,,,,,,,
OH07101,CHILLICOTHE,"21,695",93,"1,496",,14,28,51,284,"1,160",52,6
OH07100,ROSS COUNTY SHERIFF,"55,325",104,"1,290",,39,8,57,358,824,108,16
,ROSS COUNTY TOTAL,"77,020",197,"2,786",,53,36,108,642,"1,984",160,22
,,,,,,,,,,,,
OH07202,CLYDE,"6,191",4,116,,,,4,21,92,3,1
OH07203,FREMONT,"16,241",31,866,1,2,12,16,151,699,16,
OH07200,SANDUSKY COUNTY SHERIFF,"27,107",41,70,,,,41,17,52,1,
OH07210,SANDUSKY COUNTY PARK,,,,,,,,,,,
,SANDUSKY COUNTY TOTAL,"49,539",76,"1,052",1,2,12,61,189,843,20,1
,,,,,,,,,,,,
OH07301,NEW BOSTON,"2,134",7,216,,,3,4,29,176,11,
OH07302,PORTSMOUTH,"20,451",118,"1,235",4,22,34,58,275,891,69,2
OH07309,SHAWNEE STATE UNIVERSITY,,2,19,,,1,1,4,15,,
OH07300,SCIOTO COUNTY SHERIFF,"53,141",49,803,,20,7,22,246,506,51,7
,SCIOTO COUNTY TOTAL,"75,726",176,"2,273",4,42,45,85,554,"1,588",131,9
,,,,,,,,,,,,
OH07402,TIFFIN,"17,481",18,390,,2,4,12,55,331,4,1
OH07400,SENECA COUNTY SHERIFF,"24,732",51,240,2,5,44,,89,151,,
,SENECA COUNTY TOTAL,"42,213",69,630,2,7,48,12,144,482,4,1
,,,,,,,,,,,,
OH07501,SIDNEY,"20,466",42,822,3,24,9,6,162,641,19,6
OH07504,FORT LORAMIE,"1,500",,2,,,,,,1,1,
OH07500,SHELBY COUNTY SHERIFF,"23,719",22,131,1,4,1,16,31,95,5,1
,SHELBY COUNTY TOTAL,"45,685",64,955,4,28,10,22,193,737,25,7
,,,,,,,,,,,,
OH07604,CANTON,"71,031",836,"3,766",16,97,188,535,"1,008","2,512",246,12
OH07608,MASSILLON,"32,265",52,401,,14,11,27,69,326,6,6
OH07601,ALLIANCE,"21,803",75,799,,14,11,50,109,649,41,6
OH07602,BREWSTER,"2,154",,14,,,,,2,12,,1
OH07603,CANAL FULTON,"5,428",2,75,,1,,1,26,47,2,
OH07605,EAST CANTON,"1,589",,10,,,,,,10,,
OH07606,HARTVILLE,"3,030",2,78,,,,2,1,77,,1
OH07607,LOUISVILLE,"9,373",2,123,,,,2,22,98,3,1
OH07609,MINERVA,"1,931",1,20,,,,1,4,14,2,
OH07610,NAVARRE,"1,901",1,22,,,,1,3,18,1,
OH07611,NORTH CANTON,"17,348",12,281,,4,3,5,41,232,8,
OH07612,BEACH CITY,989,,6,,,,,1,4,1,
OH07622,LAWRENCE TOWNSHIP,"8,273",9,85,2,2,,5,31,48,6,
OH07624,JACKSON TOWNSHIP,"40,624",58,"1,101",1,14,24,19,120,963,18,7
OH07625,UNIONTOWN,"3,340",3,80,,2,,1,16,58,6,
OH07630,MAGNOLIA,714,1,13,,1,,,2,10,1,
OH07600,STARK COUNTY SHERIFF,"118,577",122,"1,795",4,34,27,57,449,"1,233",113,7
,STARK COUNTY TOTAL,"340,370","1,176","8,669",23,183,264,706,"1,904","6,311",454,41
,,,,,,,,,,,,
OH07701,AKRON,"197,412","1,377","8,360",42,209,395,731,"2,301","5,304",755,103
OH07702,BARBERTON,"26,050",103,881,1,19,14,69,158,682,41,8
OH07703,CUYAHOGA FALLS,"49,145",49,"1,209",2,18,8,21,143,"1,027",39,1
OH07705,HUDSON,"22,248",12,114,,2,1,9,36,76,2,4
OH07706,LAKEMORE,"3,059",5,31,,,1,4,2,27,2,
OH07707,MACEDONIA,"12,027",5,206,,1,1,3,14,189,3,1
OH07708,MOGADORE,"2,827",,37,,,,,9,27,1,
OH07709,NORTHFIELD,"3,669",5,39,,,1,4,4,32,3,
OH07710,NORTON,"11,994",9,186,,4,,5,38,137,11,1
OH07712,STOW,"34,692",32,690,1,19,6,6,102,584,4,
OH07713,TALLMADGE,"17,242",18,329,,6,8,4,54,263,12,5
OH07714,TWINSBURG,"18,891",18,111,2,,4,12,9,99,3,
OH07717,MUNROE FALLS,"5,051",1,39,,,,1,7,32,,
OH07718,PENINSULA,563,,22,,,,,2,19,1,
OH07719,REMINDERVILLE,"4,235",2,30,,1,1,,3,26,1,
OH07720,BATH TOWNSHIP,"9,678",9,116,,2,3,4,14,100,2,
OH07725,SPRINGFIELD TOWNSHI,"14,434",32,781,,8,11,13,108,645,28,4
OH07727,COPLEY TOWNSHIP,"17,280",15,163,1,1,2,11,24,133,6,
OH07728,UNIVERSITY OF AKRON,,6,183,,5,,1,5,171,7,
OH07729,NEW FRANKLIN,"14,137",15,117,,3,2,10,29,84,4,
OH07730,SAGAMORE HILLS,"10,951",,35,,,,,7,27,1,
OH07700,SUMMIT COUNTY SHERIFF,"51,006",59,"1,105",2,22,11,24,195,852,58,7
,SUMMIT COUNTY TOTAL,"526,591","1,772","14,784",51,320,469,932,"3,264","10,536",984,134
,,,,,,,,,,,,
OH05009,YOUNGSTOWN,11,,,,,,,,,,
OH07807,WARREN,"39,643",227,"1,608",11,32,101,83,494,"1,008",106,2
OH07802,HUBBARD,"7,533",8,110,,3,,5,10,99,1,2
OH07803,LIBERTY TOWNSHIP,"11,556",30,148,,2,5,23,32,102,14,
OH07805,NEWTON FALLS,"4,567",10,100,,4,,6,18,76,6,
OH07806,NILES,"18,334",55,536,,8,12,35,95,424,17,
OH07808,CORTLAND,"6,844",1,46,,,1,,6,39,1,
OH07810,WEST FARMINGTON,480,,1,,,,,1,,,
OH07812,HOWLAND TOWNSHIP,"16,608",14,383,,1,7,6,44,319,20,
OH07814,LORDSTOWN,"3,242",3,44,,1,,2,10,31,3,1
OH07815,BAZETTA TOWNSHIP,"5,614",6,127,,1,,5,18,109,,
OH07816,HUBBARD TOWNSHIP,"5,372",7,93,,3,1,3,21,65,7,
OH07819,HARTFORD TOWNSHIP,"1,978",,9,,,,,3,5,1,
OH07821,WARREN TOWNSHIP,"5,255",21,172,,1,3,17,52,106,14,
OH07823,WEATHERSFIELD,"7,962",6,33,1,3,1,1,4,26,3,1
OH07800,TRUMBULL COUNTY SHERIFF,"26,945",24,318,1,6,3,14,136,153,29,2
,TRUMBULL COUNTY TOTAL,"161,944",412,"3,728",13,65,134,200,944,"2,562",222,8
,,,,,,,,,,,,
OH07901,DENNISON,"2,625",2,7,,,,2,,6,1,1
OH07902,DOVER,"12,839",9,122,,2,1,6,27,90,5,
OH07903,NEWCOMERSTOWN,"3,767",3,69,1,,1,1,13,50,6,
OH07904,NEW PHILADELPHIA,"17,492",9,139,,,2,7,15,120,4,
OH07906,UHRICHSVILLE,"5,372",5,48,,3,1,1,7,30,11,
OH07909,BOLIVAR,986,,1,,,,,,1,,
OH07910,GNADENHUTTEN,"1,282",,2,,,,,,2,,
